h,Tao,Region,B_de_reglas,M_de_inf,U_de_acept,F_de_acept,x1,x2,x3,x4,x5,x6,x7,Fobj
0.5,0.5,2,B1,M,U,Li,0.745187332,4.915349034,0.692807048,0.252179531,0.642920396,0.026524374,4.982459191,1.427798531
0.5,0.5,2,B1,L,A,Cu,1.427332435,0.719878833,0.3064575,0.301951111,0.29057116,0.046559338,4.979586954,1.438532325
0.5,0.5,2,B1,M,A,Cu,1.508782275,0.87091668,0.368808215,0.340038511,0.267424293,0.048221785,4.999251911,1.438347131
0.5,0.5,2,B1,L,U,Cu,3.947894134,2.524554041,0.555883133,0.416487917,0.068789235,0.065785191,4.154239975,1.380140647
0.5,0.5,2,B1,M,U,Cu,3.738053045,2.149160512,0.460351861,0.344182909,0.091527555,0.064129758,4.610023776,1.387167575
0.5,0.5,2,B1,L,A,Ex,1.142533407,0.631621575,0.293931463,0.405786352,0.553469258,0.219350146,4.947513269,1.451872032
0.5,0.5,2,B1,M,A,Ex,1.180747963,0.670640297,0.305749496,0.434478468,0.515383504,0.208480511,4.971724691,1.450866649
0.5,0.5,2,B1,L,U,Ex,3.122270756,1.753441141,0.453099936,0.37414578,0.051930936,0.060170575,4.981962191,1.367030486
0.5,0.5,2,B1,M,U,Ex,2.575804106,1.338196449,0.350510631,0.287945408,0.066414572,0.057778303,4.926653902,1.370948989
0.5,0.5,2,B1,L,A,Lo,1.532271966,4.980755929,1.169821706,0.590302515,0.619176617,0.177341054,4.130637218,1.451918823
